Reporter Name,Partner Name,Product Group,E2017,E2018,E2019,E2020,E2021,I2017,I2018,I2019,I2020,I2021
Canada,United States,Food Products,11629386.6,12484025.5,13124323.1,13642373,16165941.2,11830665.9,11893243.8,11937054.7,12203629.1,13552474.3
Canada,United States,Intermediate goods,63413683.4,72139321,66254300.8,64886019.1,92538533.9,40979632.5,42747722.1,40198012.3,37930555.7,50539940.3
Canada,United States,Miscellaneous,28899585.9,30202311.3,31394814,28126299.9,30784557.9,16520437.5,17272303.3,17152690.3,16276168.9,20172369.4
Canada,United States,Hides and Skins,318801.292,251870.86,237622.631,188672.279,235206.934,200995.221,231806.083,202194.026,117788.403,141662.677
Canada,United States,Stone and Glass,6355435.21,5709951.15,6470175.33,8019769.74,8263518.47,4942944.08,5624097.6,5776429.84,7750300,9186126.15
Canada,United States,Minerals,1505985.39,1795916.8,1899698.61,1935870.75,2593123,2392391.16,2636346.47,2452579.17,2583138.28,3120814.81
Canada,United States,Animal,7031589.87,6956280.03,7384502,6999598.82,10019559.7,2757481.97,2718391.48,2699892.64,2723733.38,3470268.96
Canada,United States,Transportation,63284073.6,60686974.8,62173246.5,48041563.3,46482010.4,54021599.1,54613275.6,54555296,40001560.4,47620280.5
Canada,United States,Metals,25787129.5,27410444.6,24145569.1,22134736.4,34335241.1,15511233.2,15833200.5,13941922.1,12096293.4,16347828.2
Canada,United States,Plastic or Rubber,14208375.6,15179754.1,14438867,13594796.9,18471206.8,14527228.4,15178527.9,14333065.1,13104909.2,16709966
Canada,United States,Mach and Elec,34088284.7,36198486.9,35922440.2,30201339.1,34648374.9,42902950.2,45482573.5,45047025.8,38044565.7,41336664.1
Canada,United States,Capital goods,53899249,59124745.7,60496373.8,49269214.2,55782433,81625507.2,84725187.1,85275357.3,67497424.6,73883659.7
Canada,United States,Raw materials,68571940.4,80327647.1,81818996.6,61446165.9,101167695,19636461.9,23254820.3,24097406.7,21093229.6,25108248.7
Canada,United States,Wood,19977728.1,20701611.6,18261930.9,19805148.8,29194446,8670503.05,8869810.38,8581321.62,8112182.73,9361969.33
Canada,United States,Consumer goods,108532032,106673643,106904688,90246224.9,108798910,73357213,77412940.4,73364817.6,63648029.1,78831114.4
Canada,United States,Chemicals,17430310.3,19622756.5,19550351.5,18345746.7,23973869,20082905.8,20166582.4,19938652.7,20271959.8,25898148.4
Canada,United States,Textiles and Clothing,2426701.47,2511162.73,2428986.06,2018789.25,2481168,2238277.15,2158019.93,2045079.83,1893367.99,2096125.45
Canada,United States,All Products,318570260,337466429,335677010,284355511,377983779,222572824,235121904,230059928,197970690,239020891
Canada,United States,Fuels,76963293.1,88891903.5,89706275.6,62471748.4,109052449,19479250.6,25670694.3,24656586.7,16100075.3,22262682.4
Canada,United States,Vegetable,8373438.64,8549086.92,8249394.12,8657606.04,11082238,6401703.87,6683310.94,6657195.23,6614577.1,7655283.68
Canada,United States,Footwear,290140.548,313891.627,288813.147,171451.051,200866,92257.2635,89719.619,82941.8984,76440.6274,88226.4784
