Reporter Name,Partner Name,Year,Trade Flow,Product Group,Import (US$ Thousand),Import Product Share (%),AHS Simple Average (%),AHS Weighted Average (%)
Pakistan,North America,2022,Import,  All Products,3437159.63,100,10.71,4.61
Pakistan,North America,2022,Import, Capital goods,454621.69,13.23,8.51,6.47
Pakistan,North America,2022,Import, Consumer goods,598659.05,17.42,16.64,8.68
Pakistan,North America,2022,Import, Intermediate goods,902559.16,26.26,7.02,3.63
Pakistan,North America,2022,Import, Raw materials,1456504.04,42.38,8.21,2.84
Pakistan,North America,2022,Import,Animal,33217.97,0.97,9.17,6.14
Pakistan,North America,2022,Import,Chemicals,536986.23,15.62,5.09,8.45
Pakistan,North America,2022,Import,Food Products,21075.33,0.61,18.77,16.03
Pakistan,North America,2022,Import,Footwear,275.13,0.01,20,20
Pakistan,North America,2022,Import,Fuels,159877.08,4.65,5.38,9.3
Pakistan,North America,2022,Import,Hides and Skins,1281.01,0.04,14.02,8.84
Pakistan,North America,2022,Import,Mach and Elec,317766.94,9.24,8.58,7
Pakistan,North America,2022,Import,Metals,450029.33,13.09,11.94,6.97
Pakistan,North America,2022,Import,Minerals,6554.77,0.19,4.14,0.08
Pakistan,North America,2022,Import,Miscellaneous,148382.98,4.32,9.59,3.36
Pakistan,North America,2022,Import,Plastic or Rubber,98558.32,2.87,15.45,8.18
Pakistan,North America,2022,Import,Stone and Glass,19807.47,0.58,14.12,0.91
Pakistan,North America,2022,Import,Textiles and Clothing,876180.98,25.49,14.18,0.9
Pakistan,North America,2022,Import,Transportation,32535.93,0.95,30.23,22.05
Pakistan,North America,2022,Import,Vegetable,588380.68,17.12,10.78,3.07
Pakistan,North America,2022,Import,Wood,146249.46,4.25,12.38,3.25
United States,Pakistan,2022,Import,  All Products,6559919.04,100,4.48,8.74
United States,Pakistan,2022,Import, Capital goods,177194.22,2.7,0.31,0.06
United States,Pakistan,2022,Import, Consumer goods,5625128.35,85.75,5.14,9.43
United States,Pakistan,2022,Import, Intermediate goods,520789.12,7.94,5.94,6.89
United States,Pakistan,2022,Import, Raw materials,177499.78,2.71,0.85,0.82
United States,Pakistan,2022,Import,Animal,17616.99,0.27,10.16,4.81
United States,Pakistan,2022,Import,Chemicals,15478.25,0.24,0.59,0.13
United States,Pakistan,2022,Import,Food Products,111995.65,1.71,4.9,8.2
United States,Pakistan,2022,Import,Footwear,24059.65,0.37,6.53,7.95
United States,Pakistan,2022,Import,Hides and Skins,228020.65,3.48,1.95,8.01
United States,Pakistan,2022,Import,Mach and Elec,22617.06,0.34,0.36,0.54
United States,Pakistan,2022,Import,Metals,115821.81,1.77,0.68,0.4
United States,Pakistan,2022,Import,Minerals,90868.27,1.39,0,0
United States,Pakistan,2022,Import,Miscellaneous,462645.74,7.05,0.46,1.31
United States,Pakistan,2022,Import,Plastic or Rubber,103757.38,1.58,0.61,0.17
United States,Pakistan,2022,Import,Stone and Glass,25693.48,0.39,0.93,0.07
United States,Pakistan,2022,Import,Textiles and Clothing,5227996.99,79.7,9.48,9.86
United States,Pakistan,2022,Import,Transportation,7510.68,0.11,0.67,0.05
United States,Pakistan,2022,Import,Vegetable,97432.32,1.49,1.43,2.96
United States,Pakistan,2022,Import,Wood,8404.13,0.13,0.18,0.17
Pakistan,North America,2021,Import,  All Products,4351333.2,100,11.2,5.54
Pakistan,North America,2021,Import, Capital goods,566606.32,13.02,8.63,7.63
Pakistan,North America,2021,Import, Consumer goods,940189.1,21.61,16.73,10.04
Pakistan,North America,2021,Import, Intermediate goods,1064374.72,24.46,8.61,4.9
Pakistan,North America,2021,Import, Raw materials,1779589.91,40.9,6.89,2.92
Pakistan,North America,2021,Import,Animal,37188.74,0.85,10.27,11.24
Pakistan,North America,2021,Import,Chemicals,692405.77,15.91,6.09,5.65
Pakistan,North America,2021,Import,Food Products,26362.91,0.61,18.18,16.88
Pakistan,North America,2021,Import,Footwear,355.03,0.01,20,20
Pakistan,North America,2021,Import,Fuels,538529.36,12.38,4.45,10.25
Pakistan,North America,2021,Import,Hides and Skins,1807.03,0.04,13.37,10.09
Pakistan,North America,2021,Import,Mach and Elec,432788.65,9.95,8.58,7.83
Pakistan,North America,2021,Import,Metals,492436.84,11.32,12.87,6.77
Pakistan,North America,2021,Import,Minerals,7180.07,0.17,5.48,0.27
Pakistan,North America,2021,Import,Miscellaneous,127716.48,2.94,10.54,5.43
Pakistan,North America,2021,Import,Plastic or Rubber,84950.68,1.95,15.83,11.7
Pakistan,North America,2021,Import,Stone and Glass,11056.07,0.25,15.09,1.33
Pakistan,North America,2021,Import,Textiles and Clothing,822744.23,18.91,16.19,0.99
Pakistan,North America,2021,Import,Transportation,41164.86,0.95,25.65,20.08
Pakistan,North America,2021,Import,Vegetable,857785.64,19.71,7.82,3.15
Pakistan,North America,2021,Import,Wood,176860.85,4.06,13.41,6.25
United States,Pakistan,2021,Import,  All Products,5678270.47,100,4.44,8.6
United States,Pakistan,2021,Import, Capital goods,154189.6,2.72,0.08,0
United States,Pakistan,2021,Import, Consumer goods,4856961.35,85.54,5.04,9.25
United States,Pakistan,2021,Import, Intermediate goods,481996.84,8.49,5.82,6.65
United States,Pakistan,2021,Import, Raw materials,133206.86,2.35,0.87,1.35
United States,Pakistan,2021,Import,Animal,18731.99,0.33,6.48,2.47
United States,Pakistan,2021,Import,Chemicals,8297.92,0.15,0.48,0.09
United States,Pakistan,2021,Import,Food Products,86509.94,1.52,4.14,7.43
United States,Pakistan,2021,Import,Footwear,16694.59,0.29,6.71,8.94
United States,Pakistan,2021,Import,Hides and Skins,171406.35,3.02,2,7.62
United States,Pakistan,2021,Import,Mach and Elec,9191.15,0.16,0.07,0.03
United States,Pakistan,2021,Import,Metals,103412.84,1.82,0.39,0.34
United States,Pakistan,2021,Import,Minerals,59114.02,1.04,0,0
United States,Pakistan,2021,Import,Miscellaneous,405502.65,7.14,0.24,2.38
United States,Pakistan,2021,Import,Plastic or Rubber,91957.39,1.62,0.3,0.26
United States,Pakistan,2021,Import,Stone and Glass,28929.32,0.51,0.97,0.07
United States,Pakistan,2021,Import,Textiles and Clothing,4580603.64,80.67,9.58,9.71
United States,Pakistan,2021,Import,Transportation,6743.23,0.12,0.7,0.02
United States,Pakistan,2021,Import,Vegetable,77083.46,1.36,1.27,3.11
United States,Pakistan,2021,Import,Wood,14092,0.25,0.22,0.05
Pakistan,North America,2020,Import,  All Products,3094698.33,100,11.52,5.22
Pakistan,North America,2020,Import, Capital goods,374754.33,12.11,8.96,7.49
Pakistan,North America,2020,Import, Consumer goods,382219.55,12.35,16.99,11.96
Pakistan,North America,2020,Import, Intermediate goods,665700.11,21.51,8.56,6.24
Pakistan,North America,2020,Import, Raw materials,1670519.9,53.98,7.22,2.77
Pakistan,North America,2020,Import,Animal,25859.23,0.84,10.31,15.61
Pakistan,North America,2020,Import,Chemicals,262558.27,8.48,6.69,9.44
Pakistan,North America,2020,Import,Food Products,17804.11,0.58,20.13,17.23
Pakistan,North America,2020,Import,Footwear,283.12,0.01,20,20
Pakistan,North America,2020,Import,Fuels,197361.08,6.38,5.8,9.31
Pakistan,North America,2020,Import,Hides and Skins,1353.49,0.04,15.54,10.75
Pakistan,North America,2020,Import,Mach and Elec,274909.93,8.88,9.17,7.83
Pakistan,North America,2020,Import,Metals,398316.5,12.87,13.41,6.59
Pakistan,North America,2020,Import,Minerals,7419.21,0.24,5.44,0.48
Pakistan,North America,2020,Import,Miscellaneous,108977.31,3.52,10.06,5.1
Pakistan,North America,2020,Import,Plastic or Rubber,152414.67,4.92,16.4,11.35
Pakistan,North America,2020,Import,Stone and Glass,5412.5,0.17,15.06,2.88
Pakistan,North America,2020,Import,Textiles and Clothing,631832.44,20.42,16.23,0.43
Pakistan,North America,2020,Import,Transportation,20772.91,0.67,26.75,21.29
Pakistan,North America,2020,Import,Vegetable,864770.35,27.94,8,3.34
Pakistan,North America,2020,Import,Wood,124653.19,4.03,12.83,3.53
United States,Pakistan,2020,Import,  All Products,4115927.8,100,5.65,8.64
United States,Pakistan,2020,Import, Capital goods,135010.81,3.28,1.21,0.07
United States,Pakistan,2020,Import, Consumer goods,3412520.98,82.91,6.45,9.31
United States,Pakistan,2020,Import, Intermediate goods,413541.8,10.05,6.64,7.64
