Reporter,Year,Partner,Product,MFNRate,AppliedTariff,TotalTariffLines,IsTraded
Pakistan,2022,United States,"020443 - Meat; of sheep (including lamb), boneless cuts, frozen",3,3,1,No
Pakistan,2022,United States,"030231 - Fish; albacore or longfinned tunas (thunnus alalunga), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",11,11,1,No
Pakistan,2022,United States,030359 - Other,20,20,1,No
Pakistan,2022,United States,"020410 - Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled",3,3,1,No
Pakistan,2022,United States,030214 - Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),11,11,1,No
Pakistan,2022,United States,"030349 - Fish; tuna, frozen, n.e.s. in item no. 0303.4 (excluding fillets, livers, roes and other fish meat of heading no. 0304)",20,20,1,No
Pakistan,2022,United States,"020230 - Meat; of bovine animals, boneless cuts, frozen",3,3,1,Yes
Pakistan,2022,United States,"030192 - Fish; live, eels (anguilla spp.)",11,11,1,No
Pakistan,2022,United States,"030339 - Fish; flat fish, frozen, n.e.s. in item no. 0303.3 (excluding fillets, livers, roes and other fish meat of heading no. 0304)",20,20,1,No
Pakistan,2022,United States,010190 - Other,3,3,1,No
Pakistan,2022,United States,"020713 - Cuts and offal, fresh or chilled",20,20,1,No
Pakistan,2022,United States,030249 - Other,11,11,1,No
Pakistan,2022,United States,030392 - Shark fins,20,20,1,No
Pakistan,2022,United States,"020630 - Offal, edible; of swine, fresh or chilled",20,20,1,No
Pakistan,2022,United States,"030241 - Herrings (Clupea harengus, Clupea pallasii)",11,11,1,No
Pakistan,2022,United States,030369 - Other,20,20,1,No
Pakistan,2022,United States,010614 - Rabbits and hares,3,3,1,No
Pakistan,2022,United States,020860 - Of camels and other camelids (Camelidae),20,20,1,No
Pakistan,2022,United States,030299 - Other,11,11,1,No
Pakistan,2022,United States,"010391 - Swine; live, (other than pure-bred breeding animals), weighing less than 50kg",20,20,1,No
Pakistan,2022,United States,"020742 - Meat and edible offal; of turkeys, poultry cuts and offal (excluding livers), frozen",20,20,1,No
Pakistan,2022,United States,030259 - Other,11,11,1,No
Pakistan,2022,United States,010514 - Geese,3,3,1,No
Pakistan,2022,United States,"020754 - Other, fresh or chilled",20,20,1,No
Pakistan,2022,United States,030282 - Rays and skates (Rajidae),11,11,1,No
Pakistan,2022,United States,010633 - Ostriches; emus (Dromaius novaehollandiae),3,3,1,No
Pakistan,2022,United States,"021012 - Meat, preserved; of swine, bellies (streaky) and cuts thereof, salted, in brine, dried or smoked",20,20,1,No
Pakistan,2022,United States,030319 - Other,20,20,1,No
Pakistan,2022,United States,"010612 - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",3,3,1,No
Pakistan,2022,United States,"020840 - Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)",20,20,1,No
Pakistan,2022,United States,"030291 - Livers, roes and milt",11,11,1,No
Pakistan,2022,United States,010512 - Turkeys,3,3,1,No
Pakistan,2022,United States,"020752 - Not cut in pieces, frozen",20,20,1,No
Pakistan,2022,United States,030279 - Other,11,11,1,No
Pakistan,2022,United States,"020321 - Meat; of swine, carcasses and half-carcasses, frozen",20,20,1,No
Pakistan,2022,United States,"030199 - Fish; live, n.e.s. in heading no. 0301",11,11,1,No
Pakistan,2022,United States,030344 - Bigeye tuna (Thunnus obesus),20,20,1,No
Pakistan,2022,United States,"020130 - Meat; of bovine animals, boneless cuts, fresh or chilled",3,3,1,No
Pakistan,2022,United States,030111 - Freshwater fish,11,11,1,No
Pakistan,2022,United States,"030332 - Fish; plaice (pleuronectes platessa), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",20,20,1,No
Pakistan,2022,United States,010121 - Pure-bred breeding animals,3,3,1,Yes
Pakistan,2022,United States,"020690 - Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen",3,3,1,No
Pakistan,2022,United States,030245 - Jack and horse mackerel (Trachurus spp.),11,11,1,No
Pakistan,2022,United States,030384 - Sea bass (Dicentrarchus spp.),20,20,1,No
Pakistan,2022,United States,"020430 - Meat; of sheep, lamb carcasses and half-carcasses, frozen",3,3,1,No
Pakistan,2022,United States,"030223 - Fish; sole (solea spp.), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",11,11,1,No
Pakistan,2022,United States,030355 - Jack and horse mackerel (Trachurus spp.),20,20,1,No
Pakistan,2022,United States,"020621 - Offal, edible; of bovine animals, tongues, frozen",3,3,1,No
Pakistan,2022,United States,"030235 - Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)",11,11,1,No
Pakistan,2022,United States,"030366 - Hake (Merluccius spp., Urophycis spp.)",20,20,1,No
Pakistan,2022,United States,"020641 - Offal, edible; of swine, livers, frozen",20,20,1,No
